Code,Year,Deaths - Exposure to forces of nature %,Deaths - Under 5 ,Deaths -  Age: 5-14 years ,Deaths - Age: 15-49 years ,Deaths - Age: 50-69 years,Deaths - Age: 70+ years ,Deaths - No access to handwashing facility ,Deaths - Smoking,Deaths - Secondhand smoke,Deaths - Unsafe water source ,Deaths - Household air pollution from solid fuels ,Deaths - Air pollution ,Deaths Outdoor air pollution,IDDeath
AND,1996,0,3.613935247,0.765123914,38.1789716,85.38399298,235.7188434,0.117576672,62.18389207,6.154074445,0.011525493,0.427204981,19.32002641,19.3,1996AND
AND,2004,0,2.771740078,0.775305953,40.26222342,90.73522958,316.5568609,0.155954798,72.35256578,6.479112733,0.017055154,0.322957325,21.93821466,22.14,2004AND
AND,2002,0,2.316294875,0.678565265,35.43032524,85.93056824,292.1582257,0.143516031,67.63311229,6.167446483,0.0149052,0.344104199,20.36024442,20.49,2002AND
AND,2001,0,2.523652925,0.687379305,35.47398298,84.96764349,278.9316699,0.137730998,66.04532976,6.088901656,0.013691318,0.340267511,19.71678046,19.83,2001AND
AND,2000,0,2.722996451,0.703995276,35.61498894,84.63576461,269.2921556,0.134143297,64.82088966,6.057127407,0.013278655,0.354911523,19.30503191,19.39,2000AND
AND,1998,0,3.172965099,0.737529871,37.41325103,84.35185482,251.0491243,0.125923813,63.11528574,6.067174714,0.012223273,0.387057572,19.16050374,19.19,1998AND
AND,1992,0,4.613860159,0.94356663,38.32782386,81.24983143,190.5163881,0.093017435,56.59156806,5.847046073,0.009842952,0.521233955,17.40650747,17.23,1992AND
AND,1999,0,2.94803141,0.721640255,36.68346462,83.61482288,259.7221115,0.130215879,63.58413001,6.031907152,0.01275982,0.365890146,19.09805555,19.16,1999AND
AND,1995,0,3.829715281,0.78397069,38.45547744,85.65880123,228.8513977,0.113255425,61.85391665,6.20135254,0.011210806,0.464804554,19.22745927,19.16,1995AND
AND,1994,0,4.05231816,0.825205587,39.40420666,86.6182128,220.291193,0.109202225,61.29174237,6.235988545,0.01096637,0.492432528,19.06908186,18.97,1994AND
AND,1993,0,4.330710089,0.892162066,40.4808066,85.79174151,206.2621642,0.10142063,60.05497434,6.149955262,0.010465,0.513703573,18.49158615,18.35,1993AND
AND,2003,0,2.556764213,0.724482855,37.92394963,88.39537862,303.9682542,0.149197623,70.28616216,6.324162922,0.015940303,0.328817651,21.16570504,21.34,2003AND
AND,1997,0,3.39656218,0.752597467,37.90033583,84.88386861,243.4435704,0.121726901,62.59922514,6.111990788,0.011852482,0.404918278,19.27668193,19.29,1997AND
AND,2017,0,1.300197658,0.612716774,33.57203347,115.1941317,408.8067929,0.20630635,79.71227957,6.967264846,0.027021517,0.250689952,23.32316268,23.67,2017AND
ARE,2008,0,1130.268527,197.5586086,6790.382572,3438.801548,1721.754176,12.09167059,848.4665212,205.9137618,18.07925301,5.929153231,814.116557,826.25,2008ARE
ARE,2009,0,1484.140885,206.0059295,8900.869215,3607.328956,1775.084775,13.57609232,963.0236256,226.5158379,20.54746779,5.99064109,914.5082881,929.52,2009ARE
ARE,2010,0,1557.282663,208.902263,9309.436826,4093.134315,1847.05248,14.35695169,1092.080953,248.1845664,21.78579519,6.146700784,1007.784718,1024.93,2010ARE
ARE,2011,0,1551.073672,210.3204378,9590.460635,4736.645509,1894.175861,14.91727484,1239.81537,273.8089237,22.20589331,6.110457449,1117.872308,1137.62,2011ARE
ARE,2012,0,1481.705671,205.0520309,10009.19326,5468.261907,1952.713497,15.79707472,1407.213118,303.8259371,22.8276966,6.066656124,1241.521662,1264.05,2012ARE
ARE,2015,0,1179.955123,203.6808895,11182.68938,8285.398901,2205.586113,18.61620087,2011.772038,414.7037131,24.87662845,6.33718405,1713.569291,1745.94,2015ARE
ARE,2014,0,1296.885143,201.7576003,10826.98735,7231.634247,2109.451039,17.74226858,1793.564924,373.8502278,24.12806912,6.703541223,1511.457122,1539.14,2014ARE
ARE,2016,0,1072.541356,204.2570413,11510.78989,9517.186564,2324.099505,19.74908154,2254.917992,461.6243489,26.00162569,6.599030248,1874.884854,1910.19,2016ARE
ARE,2005,0,829.387784,172.9932194,4156.874883,2831.437938,1618.775934,10.33718741,645.2656933,176.746108,15.21136396,6.569230477,653.1155604,659.71,2005ARE
ARE,1990,0,1099.926353,207.1137609,1683.241958,1301.820114,769.5875673,10.17425551,276.8627526,92.45984836,15.84904512,15.1384961,305.6954216,295.43,1990ARE
ARE,2007,0,955.6427019,186.9652615,5365.467104,3282.470503,1713.311254,11.25912649,767.3180059,194.818945,16.62867893,5.994698373,751.1829913,761.31,2007ARE
ARE,2013,0,1403.514234,201.8248158,10435.96816,6293.333533,2022.59055,16.67849947,1590.390661,336.6708857,23.39449038,6.135241184,1378.067856,1403.53,2013ARE
ARE,2006,0,844.0545912,176.6080665,4293.131442,3150.426432,1671.367214,10.72616261,702.1241119,184.4431874,15.64902359,6.229743113,694.7035145,702.81,2006ARE
ARE,2004,0,810.7890437,180.3963416,3956.029803,2733.928925,1644.967125,10.26252616,627.0259989,175.6268508,15.1690128,7.120644835,643.3339535,648.94,2004ARE
ARE,2017,0,962.3137758,204.4770636,11815.47915,10934.63612,2457.603722,21.09880059,2512.923969,514.7717993,27.53783996,6.624847744,2071.683878,2110.87,2017ARE
ARE,1991,0,1003.912626,208.2002371,1803.35055,1383.043745,805.1066143,9.553636441,299.7923914,97.57582013,14.81451853,13.54163595,326.5624189,318.34,1991ARE
ARE,1995,0,704.5138818,194.9180822,2366.107455,1768.510432,1018.308223,8.411395958,413.5386595,123.1679306,12.72864468,11.07870954,426.0425998,422.35,1995ARE
ARE,1992,0,917.2498239,205.9510468,1929.951254,1469.103615,849.2194342,9.098151152,324.9507357,103.153491,14.01096167,12.29639941,348.9498987,342.43,1992ARE
ARE,1993,0,838.3865756,204.6816742,2069.697606,1565.80775,896.664647,8.774445103,352.9106802,109.3262555,13.43369289,11.72798455,373.3418196,367.89,1993ARE
ARE,1996,0,651.259681,191.0094647,2487.174572,1862.038125,1067.389414,8.254297473,438.4308378,128.7628818,12.48204512,10.48968827,449.2431867,446.67,1996ARE
ARE,1997,0,630.2415183,196.8928159,2677.389748,1951.528782,1125.549756,8.265050517,462.1899103,133.7077597,12.56750186,10.18334872,469.9876725,468.21,1997ARE
ARE,1994,0,767.8159359,200.5301583,2215.584091,1665.757509,957.1455687,8.57446185,382.5721738,116.0200064,13.0798337,11.34559344,399.1300071,394.6,1994ARE
ARE,1999,0,665.0923765,186.7683612,2985.604589,2172.298965,1390.993822,8.949110137,530.0734368,152.276976,13.21864369,10.28744422,540.1426495,539.75,1999ARE
ARE,2000,0,688.9688307,187.3523218,3064.707607,2304.717357,1482.30056,9.166405746,555.9727523,158.5348328,13.46138248,9.781492889,563.6969927,564.4,2000ARE
ARE,2001,0,717.9766482,190.8208477,3177.898383,2409.496352,1533.774271,9.374043604,566.732542,163.0458793,13.95153556,8.920576225,582.5477952,584.61,2001ARE
ARE,2002,0,747.9226835,189.3808859,3395.022047,2494.967919,1493.844937,9.429663087,575.8776338,165.0831683,14.19013281,8.033172807,594.6522069,598.07,2002ARE
ARE,2003,0,778.7714885,185.5220137,3577.797171,2625.626938,1585.492432,9.880114261,600.818139,170.7636777,14.75384757,7.573317134,620.0077494,624.52,2003ARE
ARE,1998,0,641.3268785,191.5137992,2794.002225,2033.408308,1274.570169,8.631420295,494.000501,142.752672,12.97323318,10.14063358,504.4263146,503.4,1998ARE
ARG,1994,0,16377.9055,2104.460825,29969.58976,72884.57609,136194.8888,495.6326791,48803.46284,6917.22823,560.8743088,4045.861974,14808.60214,10826.17,1994ARG
ARG,2001,0.011571226,12971.2712,1932.197958,30535.30105,72874.62762,166877.8659,520.7243153,51901.96693,7771.030904,401.1571026,3680.891064,17282.09569,13699.99,2001ARG
ARG,2002,0.007165052,13528.4078,1943.896232,30501.03512,74545.16145,172572.0963,537.9338932,53507.34271,7838.730963,397.8949674,3517.559724,17782.98507,14369.34,2002ARG
ARG,1992,0.017310155,18032.13245,2247.698943,29478.63212,75104.23829,135101.0597,566.7897379,51134.53957,6986.355671,677.1343885,4385.628733,15088.97427,10763.03,1992ARG
ARG,1993,0.005784512,17237.44013,2215.616996,29334.71343,73987.92355,136538.2862,531.2741777,49907.1052,6974.139425,616.476374,4234.952709,15036.82264,10863.78,1993ARG
ARG,1995,0.002290839,16170.1162,2003.266172,30247.15508,72772.39612,140720.6157,492.2849839,48970.11691,7093.49234,544.5028287,3982.801119,14961.59097,11046.45,1995ARG
ARG,2008,0.003664173,10938.55365,1868.81262,29612.56775,75898.985,181886.0536,543.34355,53646.28605,7072.1823,284.6520587,2139.65517,17734.84333,15717.42,2008ARG
ARG,1997,0.006972517,15037.95627,2018.201147,31429.57328,74164.49823,149848.9925,500.4050466,50799.38424,7538.029365,513.4469546,3914.069622,16219.74067,12388.15,1997ARG
ARG,1998,0.008234906,15065.06409,2065.068263,31120.99192,74071.10696,156977.4743,511.9504445,51610.70675,7779.831575,492.8594529,3894.331511,16849.4597,13044.94,1998ARG
ARG,1999,0.003843737,13934.82865,2009.192854,31381.50165,74864.8727,163989.9512,520.6500242,52818.6039,7996.750089,459.8359404,3930.461545,17416.25264,13581.48,1999ARG
ARG,2000,0.006779053,13480.80847,1954.119517,30459.92444,72228.63583,162152.7188,508.2109874,51123.80486,7714.096379,420.7151514,3717.557017,16730.1878,13105.82,2000ARG
ARG,1996,0,15987.50534,2015.683154,31147.03136,74006.65065,144795.4521,490.1256665,49951.59638,7310.019497,525.5709186,3909.394679,15577.82786,11742.21,1996ARG
