Code,Year,Access to clean fuels cooking %,IDCFA
CHN,2003,49.52,2003CHN
CHN,2004,50.04,2004CHN
CHN,2005,50.83,2005CHN
CHN,2006,51.8,2006CHN
CHN,2007,52.5,2007CHN
CHN,2008,53.37,2008CHN
CHN,2009,54.07,2009CHN
CHN,2010,54.91,2010CHN
CHN,2011,55.66,2011CHN
CHN,2012,56.4,2012CHN
CHN,2013,57.24,2013CHN
CHN,2014,57.8,2014CHN
CHN,2015,58.54,2015CHN
CHN,2016,59.26,2016CHN
COL,2000,79.58,2000COL
COL,2001,80.86,2001COL
COL,2002,81.88,2002COL
COL,2003,82.99,2003COL
COL,2004,83.86,2004COL
COL,2005,84.83,2005COL
COL,2006,85.69,2006COL
COL,2007,86.3,2007COL
COL,2008,87.24,2008COL
COL,2009,87.89,2009COL
COL,2010,88.49,2010COL
COL,2011,89.05,2011COL
COL,2012,89.62,2012COL
COL,2013,90.12,2013COL
COL,2014,90.87,2014COL
COL,2015,91.29,2015COL
COL,2016,91.79,2016COL
COM,2000,0.63,2000COM
COM,2001,0.75,2001COM
COM,2002,0.9,2002COM
COM,2003,1.06,2003COM
COM,2004,1.29,2004COM
COM,2005,1.53,2005COM
COM,2006,1.82,2006COM
COM,2007,2.11,2007COM
COM,2008,2.58,2008COM
COM,2009,3.12,2009COM
COM,2010,3.68,2010COM
COM,2011,4.31,2011COM
COM,2012,5.1,2012COM
COM,2013,6.06,2013COM
COM,2014,7.05,2014COM
COM,2015,8.15,2015COM
COM,2016,9.34,2016COM
COG,2000,10,2000COG
COG,2001,10.5,2001COG
COG,2002,11.08,2002COG
COG,2003,11.76,2003COG
COG,2004,12.52,2004COG
COG,2005,13.25,2005COG
COG,2006,14.07,2006COG
COG,2007,14.86,2007COG
COG,2008,15.71,2008COG
COG,2009,16.63,2009COG
COG,2010,17.53,2010COG
COG,2011,18.52,2011COG
COG,2012,19.64,2012COG
COG,2013,20.63,2013COG
COG,2014,21.59,2014COG
COG,2015,22.74,2015COG
COG,2016,24.13,2016COG
CRI,2000,87.8,2000CRI
CRI,2001,88.34,2001CRI
CRI,2002,88.76,2002CRI
CRI,2003,89.31,2003CRI
CRI,2004,89.65,2004CRI
CRI,2005,90.07,2005CRI
CRI,2006,90.55,2006CRI
CRI,2007,90.8,2007CRI
CRI,2008,91.2,2008CRI
CRI,2009,91.51,2009CRI
CRI,2010,91.89,2010CRI
CRI,2011,92.13,2011CRI
CRI,2012,92.53,2012CRI
CRI,2013,92.69,2013CRI
CRI,2014,92.91,2014CRI
CRI,2015,93.2,2015CRI
CRI,2016,93.45,2016CRI
CIV,2000,18.41056347,2000CIV
CIV,2001,18.53943467,2001CIV
CIV,2002,18.62071157,2002CIV
CIV,2003,18.66356134,2003CIV
CIV,2004,18.67715716,2004CIV
