Code,Year,Geothermal Capacity,IDGEOT
,2000,4.6,
,2001,4.6,
,2002,4.6,
,2003,4.6,
,2004,4.6,
,2005,15.6,
,2006,15.6,
,2007,15.6,
,2008,15.6,
,2009,15,
,2010,15,
,2011,15,
,2012,15,
,2013,15,
,2014,11.5,
,2015,14.5,
,2016,14.5,
,2017,15,
,2018,15,
,2019,15,
PNG,1990,0,1990PNG
PNG,1995,0,1995PNG
PNG,2000,0,2000PNG
PNG,2001,0,2001PNG
PNG,2002,0,2002PNG
PNG,2003,6,2003PNG
PNG,2004,6,2004PNG
PNG,2005,36,2005PNG
PNG,2006,36,2006PNG
PNG,2007,56,2007PNG
PNG,2008,56,2008PNG
PNG,2009,56,2009PNG
PNG,2010,56,2010PNG
PNG,2011,56,2011PNG
PNG,2012,56,2012PNG
PNG,2013,56,2013PNG
PNG,2014,56,2014PNG
PNG,2015,56,2015PNG
PNG,2016,56,2016PNG
PNG,2017,56,2017PNG
PNG,2018,56,2018PNG
PNG,2019,56,2019PNG
PHL,1990,888,1990PHL
PHL,1995,1154,1995PHL
PHL,2000,1846.5,2000PHL
PHL,2001,1846.5,2001PHL
PHL,2002,1846.5,2002PHL
PHL,2003,1846.5,2003PHL
PHL,2004,1846.5,2004PHL
PHL,2005,1846.5,2005PHL
PHL,2006,1846.5,2006PHL
PHL,2007,1846.5,2007PHL
PHL,2008,1846.5,2008PHL
PHL,2009,1846.5,2009PHL
PHL,2010,1846.5,2010PHL
PHL,2011,1846.5,2011PHL
PHL,2012,1846.5,2012PHL
PHL,2013,1846.5,2013PHL
PHL,2014,1916.1,2014PHL
PHL,2015,1916.1,2015PHL
PHL,2016,1916.1,2016PHL
PHL,2017,1916.1,2017PHL
PHL,2018,1928.1,2018PHL
PHL,2019,1928.1,2019PHL
PRT,1990,3,1990PRT
PRT,1995,5,1995PRT
PRT,2000,14,2000PRT
PRT,2001,14,2001PRT
PRT,2002,14,2002PRT
PRT,2003,14,2003PRT
PRT,2004,14,2004PRT
PRT,2005,14,2005PRT
PRT,2006,25,2006PRT
PRT,2007,25,2007PRT
PRT,2008,25,2008PRT
PRT,2009,25,2009PRT
PRT,2010,25,2010PRT
PRT,2011,25,2011PRT
PRT,2012,25,2012PRT
PRT,2013,25,2013PRT
PRT,2014,25,2014PRT
PRT,2015,25,2015PRT
PRT,2016,25,2016PRT
PRT,2017,29.1,2017PRT
PRT,2018,29.1,2018PRT
PRT,2019,29.1,2019PRT
RUS,1990,11,1990RUS
RUS,1995,11,1995RUS
RUS,2000,23,2000RUS
RUS,2001,21,2001RUS
RUS,2002,70,2002RUS
RUS,2003,70,2003RUS
RUS,2004,56,2004RUS
RUS,2005,79,2005RUS
RUS,2006,87,2006RUS
RUS,2007,90,2007RUS
RUS,2008,80,2008RUS
RUS,2009,81,2009RUS
RUS,2010,81,2010RUS
RUS,2011,81,2011RUS
RUS,2012,81,2012RUS
RUS,2013,79,2013RUS
RUS,2014,78,2014RUS
RUS,2015,78,2015RUS
RUS,2016,78,2016RUS
RUS,2017,74,2017RUS
RUS,2018,74,2018RUS
RUS,2019,74,2019RUS
,1990,130,
,1995,230,
,2000,360.8,
,2001,365.8,
,2002,417,
,2003,435,
,2004,428,
,2005,449,
,2006,474.2,
,2007,527.4,
,2008,527.4,
,2009,526.8,
,2010,526.8,
,2011,525.4,
,2012,655.6,
,2013,640.6,
,2014,637.1,
,2015,639.96,
,2016,629.46,
,2017,688.96,
,2018,712.96,
,2019,761.2,
TUR,1990,20.6,1990TUR
TUR,1995,20.4,1995TUR
TUR,2000,18,2000TUR
TUR,2001,18,2001TUR
TUR,2002,18,2002TUR
TUR,2003,15,2003TUR
TUR,2004,15,2004TUR
TUR,2005,15,2005TUR
TUR,2006,23,2006TUR
TUR,2007,23,2007TUR
TUR,2008,30,2008TUR
TUR,2009,77,2009TUR
TUR,2010,94,2010TUR
TUR,2011,114,2011TUR
TUR,2012,162,2012TUR
TUR,2013,311,2013TUR
TUR,2014,405,2014TUR
TUR,2015,624,2015TUR
TUR,2016,821,2016TUR
TUR,2017,1063.7,2017TUR
TUR,2018,1282.5,2018TUR
TUR,2019,1514.7,2019TUR
USA,1990,2913.5,1990USA
USA,1995,3170.96,1995USA
USA,2000,2793,2000USA
USA,2001,2216,2001USA
USA,2002,2252,2002USA
USA,2003,2133,2003USA
USA,2004,2152,2004USA
USA,2005,2285,2005USA
USA,2006,2274,2006USA
USA,2007,2214,2007USA
USA,2008,2229,2008USA
USA,2009,2382,2009USA
USA,2010,2405,2010USA
USA,2011,2409,2011USA
USA,2012,2592,2012USA
USA,2013,2607,2013USA
USA,2014,2514,2014USA
USA,2015,2542,2015USA
USA,2016,2517,2016USA
USA,2017,2483,2017USA
USA,2018,2540.5,2018USA
USA,2019,2555.3,2019USA
OWID_WRL,1975,1300,1975OWID_WRL
OWID_WRL,1980,3887,1980OWID_WRL
OWID_WRL,1985,4764,1985OWID_WRL
OWID_WRL,1990,5853.5,1990OWID_WRL
OWID_WRL,1995,6770.36,1995OWID_WRL
OWID_WRL,2000,8235.8,2000OWID_WRL
OWID_WRL,2001,7916.8,2001OWID_WRL
OWID_WRL,2002,8109,2002OWID_WRL
OWID_WRL,2003,8195.9,2003OWID_WRL
OWID_WRL,2004,8214.1,2004OWID_WRL
OWID_WRL,2005,8564.1,2005OWID_WRL
OWID_WRL,2006,8792.2,2006OWID_WRL
OWID_WRL,2007,9022.2,2007OWID_WRL
OWID_WRL,2008,9344.3,2008OWID_WRL
OWID_WRL,2009,9790.7,2009OWID_WRL
OWID_WRL,2010,9998,2010OWID_WRL
OWID_WRL,2011,10088,2011OWID_WRL
OWID_WRL,2012,10481.7,2012OWID_WRL
OWID_WRL,2013,10731,2013OWID_WRL
OWID_WRL,2014,11158.715,2014OWID_WRL
OWID_WRL,2015,11814.175,2015OWID_WRL
OWID_WRL,2016,12254.894,2016OWID_WRL
OWID_WRL,2017,12704.465,2017OWID_WRL
OWID_WRL,2018,13252.695,2018OWID_WRL
OWID_WRL,2019,13930.575,2019OWID_WRL
