Code,Year,ValPol,IDO
CYP,2017,17.2944062,2017CYP
CZE,2010,20.67687047,2010CZE
CZE,2011,20.08124665,2011CZE
CZE,2012,18.74317608,2012CZE
CZE,2013,17.996287,2013CZE
CZE,2014,17.39121549,2014CZE
CZE,2015,17.41645169,2015CZE
CZE,2016,16.1005837,2016CZE
CZE,2017,16.07124535,2017CZE
DEU,2010,15.18949496,2010DEU
DEU,2011,14.66422844,2011DEU
DEU,2012,13.57764226,2012DEU
DEU,2013,13.19191946,2013DEU
DEU,2014,12.75122057,2014DEU
DEU,2015,12.82609758,2015DEU
DEU,2016,11.93781112,2016DEU
DEU,2017,12.02876736,2017DEU
DJI,2010,38.24086927,2010DJI
DJI,2011,40.44183546,2011DJI
DJI,2012,39.94282079,2012DJI
DJI,2013,40.10377303,2013DJI
DJI,2014,41.25972754,2014DJI
DJI,2015,45.95080851,2015DJI
DJI,2016,45.86887513,2016DJI
DJI,2017,45.5496176,2017DJI
DMA,2010,23.74074619,2010DMA
DMA,2011,24.27612298,2011DMA
DMA,2012,22.21579925,2012DMA
DMA,2013,22.15106827,2013DMA
DMA,2014,21.01030747,2014DMA
DMA,2015,20.68878863,2015DMA
DMA,2016,19.98814835,2016DMA
DMA,2017,19.49315376,2017DMA
DNK,2010,11.92914817,2010DNK
DNK,2011,12.66233138,2011DNK
DNK,2012,11.11552501,2012DNK
DNK,2013,10.82027884,2013DNK
DNK,2014,11.06670453,2014DNK
DNK,2015,10.65728566,2015DNK
DNK,2016,10.09597196,2016DNK
DNK,2017,10.02965344,2017DNK
DOM,2010,16.87446546,2010DOM
DOM,2011,17.29977986,2011DOM
DOM,2012,16.15283991,2012DOM
DOM,2013,15.39695063,2013DOM
DOM,2014,14.1880737,2014DOM
DOM,2015,14.85822076,2015DOM
DOM,2016,13.69022772,2016DOM
DOM,2017,13.72632115,2017DOM
DZA,2010,33.63582026,2010DZA
DZA,2011,33.83404774,2011DZA
DZA,2012,33.3668262,2012DZA
DZA,2013,34.24532791,2013DZA
DZA,2014,35.56391718,2014DZA
DZA,2015,36.08916357,2015DZA
DZA,2016,39.85327385,2016DZA
DZA,2017,38.8840107,2017DZA
EAP,2010,55.8449762,2010EAP
EAP,2011,56.38466186,2011EAP
EAP,2012,51.64048658,2012EAP
EAP,2013,52.44074727,2013EAP
EAP,2014,48.12064176,2014EAP
EAP,2015,47.37309717,2015EAP
EAP,2016,42.29950659,2016EAP
EAP,2017,42.53946794,2017EAP
EAR,2010,64.28431299,2010EAR
EAR,2011,64.85108991,2011EAR
EAR,2012,60.37496625,2012EAR
EAR,2013,61.39517368,2013EAR
EAR,2014,59.99596877,2014EAR
EAR,2015,60.61444067,2015EAR
EAR,2016,59.87018031,2016EAR
EAR,2017,60.35929045,2017EAR
EAS,2010,51.9120112,2010EAS
EAS,2011,52.41693271,2011EAS
EAS,2012,48.05672835,2012EAS
EAS,2013,48.82717052,2013EAS
EAS,2014,44.84952702,2014EAS
EAS,2015,44.21893188,2015EAS
EAS,2016,39.52054218,2016EAS
EAS,2017,39.74995754,2017EAS
ECA,2010,26.60138686,2010ECA
ECA,2011,26.37682055,2011ECA
ECA,2012,25.52119615,2012ECA
ECA,2013,25.09961473,2013ECA
ECA,2014,24.27557194,2014ECA
ECA,2015,25.40680953,2015ECA
ECA,2016,24.31862265,2016ECA
ECA,2017,24.43393927,2017ECA
ECS,2010,20.58259725,2010ECS
ECS,2011,20.5751036,2011ECS
ECS,2012,19.50011895,2012ECS
ECS,2013,19.07915982,2013ECS
ECS,2014,18.39049124,2014ECS
ECS,2015,18.99890934,2015ECS
ECS,2016,18.00777789,2016ECS
ECS,2017,18.08195597,2017ECS
ECU,2010,19.97918812,2010ECU
ECU,2011,19.321995,2011ECU
ECU,2012,19.55771048,2012ECU
ECU,2013,18.1186093,2013ECU
ECU,2014,16.23418751,2014ECU
ECU,2015,15.69970761,2015ECU
ECU,2016,14.98157801,2016ECU
ECU,2017,14.88610066,2017ECU
EGY,2010,77.44661885,2010EGY
