Code,Year,Consumption of Ozone-Depleting Substances ,IDCODS
BRN,1989,66.6,1989BRN
BRN,1991,0,1991BRN
BRN,1992,60.9,1992BRN
BRN,1993,83.3,1993BRN
BRN,1994,65.7,1994BRN
BRN,1995,67.3,1995BRN
BRN,1996,81.8,1996BRN
BRN,1997,92.5,1997BRN
BRN,1998,65,1998BRN
BRN,1999,37.7,1999BRN
BRN,2000,47.8,2000BRN
BRN,2001,33.1,2001BRN
BRN,2002,46.3,2002BRN
BRN,2003,33.7,2003BRN
BRN,2004,63.3,2004BRN
BRN,2005,41.6,2005BRN
BRN,2006,28.6,2006BRN
BRN,2007,10.4,2007BRN
BRN,2008,7.6,2008BRN
BRN,2009,5.8,2009BRN
BRN,2010,6.9,2010BRN
BRN,2011,8.08,2011BRN
BRN,2012,5.9,2012BRN
BRN,2013,4.27,2013BRN
BRN,2014,4,2014BRN
BGR,1989,2950.4,1989BGR
BGR,1990,2353.6,1990BGR
BGR,1991,1957.1,1991BGR
BGR,1992,1617.6,1992BGR
BGR,1993,735.6,1993BGR
BGR,1994,739.7,1994BGR
BGR,1995,372.1,1995BGR
BGR,1996,17.7,1996BGR
BGR,1997,1.6,1997BGR
BGR,1998,39,1998BGR
BGR,1999,41.8,1999BGR
BGR,2000,19.7,2000BGR
BGR,2001,22.7,2001BGR
BGR,2002,23.8,2002BGR
BGR,2003,13.1,2003BGR
BGR,2004,16.5,2004BGR
BGR,2005,15.6,2005BGR
BGR,2006,10.6,2006BGR
BFA,1989,29.9,1989BFA
BFA,1990,31.3,1990BFA
BFA,1991,32.8,1991BFA
BFA,1992,40,1992BFA
BFA,1993,41.7,1993BFA
BFA,1994,37.5,1994BFA
BFA,1995,45.3,1995BFA
BFA,1996,41.8,1996BFA
BFA,1997,37.6,1997BFA
BFA,1998,37,1998BFA
BFA,1999,30.6,1999BFA
BFA,2000,34.9,2000BFA
BFA,2001,29.9,2001BFA
BFA,2002,27.9,2002BFA
BFA,2003,25,2003BFA
BFA,2004,24.6,2004BFA
BFA,2005,22.4,2005BFA
BFA,2006,21.6,2006BFA
BFA,2007,23,2007BFA
BFA,2008,23.3,2008BFA
BFA,2009,26.7,2009BFA
BFA,2010,31,2010BFA
BFA,2011,27.93,2011BFA
BFA,2012,26.59,2012BFA
BFA,2013,14.88,2013BFA
BFA,2014,12.38,2014BFA
BDI,1989,40.3,1989BDI
BDI,1990,43,1990BDI
BDI,1991,45.6,1991BDI
BDI,1992,48.2,1992BDI
BDI,1995,56.2,1995BDI
BDI,1996,58.8,1996BDI
BDI,1997,62,1997BDI
BDI,1998,64.5,1998BDI
BDI,1999,59.7,1999BDI
BDI,2000,53.9,2000BDI
BDI,2001,46.6,2001BDI
BDI,2002,19.2,2002BDI
BDI,2003,9.2,2003BDI
BDI,2004,4.9,2004BDI
BDI,2005,8.5,2005BDI
BDI,2006,8.9,2006BDI
BDI,2007,8.9,2007BDI
BDI,2008,7.3,2008BDI
BDI,2009,7.3,2009BDI
BDI,2010,7.4,2010BDI
BDI,2011,6.99,2011BDI
BDI,2012,6.99,2012BDI
BDI,2013,7.11,2013BDI
BDI,2014,6.82,2014BDI
KHM,1989,2.8,1989KHM
KHM,1991,0,1991KHM
KHM,1995,97,1995KHM
KHM,1996,97,1996KHM
KHM,1997,97,1997KHM
KHM,1998,97,1998KHM
KHM,1999,97,1999KHM
KHM,2000,97,2000KHM
KHM,2001,97,2001KHM
KHM,2002,97,2002KHM
KHM,2003,89.9,2003KHM
KHM,2004,74.6,2004KHM
KHM,2005,50.8,2005KHM
KHM,2006,34.6,2006KHM
KHM,2007,19.9,2007KHM
